serial_number_tim,serial_number_forn,createdBy,createdAt,updatedBy,updatedAt,num_consegna,workrequestid,externalrefid,associated_at,associated_by,causale,anomalia,status,wr_prodotti,cod_terr_sap,cod_nmu,codice_impresa_name,impianto,impianto_regman,status_regman,sent_to_sap,cod_proj,mac_address,serial_number_cpe,cod_terr_sap_mos,check_NMU,desc_nmu,tipo_task,flag_olo,check_u0009t,importo_u0009t,NMU WR,tipo_inserimento,client_type,data_completamento_wr,area,codice_riscontro,codice_impresa_utilizzo,descr_impresa_utilizzo,tipo_famiglia,cod_gruppo_tec,File Allegato,contatore,causale_addebito,note_addebito,post_delivery,wr_collaudo_one,impianto_collaudo_one,data_collaudo_one,status_collaudo_one,equivalenza_prod_applicabile,validated_at,validated_by,reverse,note,one_step,approved_at,approved_by
%R091785632N12241049LO,ZTE0QTFQCV23443,SAP File,2025-04-29T05:05:09.243Z,Procedura Check_u0009t,2025-07-02T01:00:11.541Z,8403058498,90780111,B36099684,2025-06-30T12:40:23.069Z,REST_2872,UM per Vendita,,Validato,false,IMSUS014,785632,2872,095500641,000095500641,MATCH REGMAN OK,,,F01B2422600A,,,ROUTER LIBERO,TIM HUB Pro ZTE,DELIVERY,NO,OK,240.00,000000,Digitato,B,2025-06-30T14:27:00.000Z,AOA.SUD,,2872,SIELTE S.P.A.,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,2025-07-01T07:44:00.148Z,X1015748,,,,,
%R091785631N0125102C5P,ZTEEGANR1D03124,SAP File,2025-04-10T05:04:22.558Z,X1015748,2025-07-01T07:44:00.387Z,8403046065,90865068,B36178579,2025-06-30T10:10:19.985Z,REST_2872,UM per Vendita,,Validato,false,IMSUS014,785631,2872,0957809189,000957809189,MATCH REGMAN OK,,TLC20SF001,DC5193BAFE6C,,,ROUTER LIBERO,nuovo modem XDSL ZTE,DELIVERY,NO,KO,,"INST01,TLC3,TLC6,781093",Digitato,R,2025-06-30T10:20:00.000Z,AOA.SUD,,2872,SIELTE S.P.A.,Router,98,NO,,,,,90865068,000957809189,2025-06-30T09:53:24.000Z,MATCH COLLAUDO_ONE OK,,2025-07-01T07:44:00.148Z,X1015748,,,,,
%R091785631N0125102C4G,ZTEEGANR1D03079,SAP File,2025-04-10T05:04:21.766Z,X1015748,2025-06-30T08:21:20.687Z,8403046065,90569792,B35904020,2025-06-27T11:20:03.603Z,REST_2872,UM per Vendita,,Validato,false,IMSUS014,785631,2872,0957211149,000957211149,MATCH REGMAN OK,,TLC1805DEC,DC5193BAFDB8,,,ROUTER LIBERO,nuovo modem XDSL ZTE,DELIVERY,NO,OK,196.72,000000,Digitato,R,2025-06-27T13:16:00.000Z,AOA.SUD,,2872,SIELTE S.P.A.,Router,98,NO,,,,,90569792,000957211149,2025-06-27T13:14:41.000Z,MATCH COLLAUDO_ONE OK,,2025-06-30T08:21:20.488Z,X1015748,,,,,
%R091785632N1024102SS5,ZTE0QTFQA503391,SAP File,2025-02-08T06:10:41.334Z,X1015748,2025-07-01T07:44:00.504Z,8402993302,90727503,B36055676,2025-06-30T14:25:13.322Z,REST_2872,UM per Vendita,,Validato,false,IMSUS014,785632,2872,0906017340,000906017340,MATCH REGMAN OK,,TLC20SF001,C04943FCF93E,,,ROUTER LIBERO,TIM HUB Pro ZTE,DELIVERY,NO,KO,,"INST01,TLC3,TLC6,785632",Scansionato,R,2025-06-30T16:12:00.000Z,AOA.SUD,,2872,SIELTE S.P.A.,Router,98,NO,,,,,90727503,000906017340,2025-06-30T13:08:30.000Z,MATCH COLLAUDO_ONE OK,,2025-07-01T07:44:00.148Z,X1015748,,,,,
%R091785631N0125102C4K,ZTEEGANR1D03083,SAP File,2025-04-10T05:04:21.997Z,REST_2872,2025-07-03T10:10:05.553Z,8403046065,90909113,B36221224,2025-07-03T10:10:05.531Z,REST_2872,UM per Vendita,MATCH TELEFONICO REGMAN KO,Da Esaminare,true,IMSUS014,785631,2872,0957714150,000958038581,MATCH REGMAN KO,,TLC20SF001,DC5193BAFDC8,,,NMU OK,nuovo modem XDSL ZTE,DELIVERY,NO,,,"555553,555551,555554,781093,555552,555550,784010",Digitato,R,2025-07-03T12:01:00.000Z,AOA.SUD,,2872,SIELTE S.P.A.,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101782509N0923203473,N723256AW003383,SAP File,2024-05-29T05:11:11.783Z,14020289,2024-11-14T15:49:11.587Z,8402784775,78848515,B25174271,2024-10-18T15:00:41.989Z,X1015748,UM per Comodato d'Uso,MATCH TELEFONICO REGMAN KO,Da Esaminare,true,IMSUS014,782509,2872,095536699,,MATCH REGMAN KO,,,6C99613C8E77,ZTE9GA9N9C05132,,NMU OK,Modem 10 Gb nuovo Chipset Wi-Fi,DELIVERY,NO,,,782441,DaLista,B,2024-06-07T14:30:00.000Z,AOA.SUD,,2872,SIELTE S.P.A.,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,2024-06-10T08:13:24.374Z,X1015748,,,,,
%3S55777277N08213T181Q,CP2126RA33L,SAP File,2021-11-11T05:46:26.483Z,X1013719,2023-04-05T11:04:11.290Z,8402069360,49667735,A98127812,2022-03-10T09:14:29.729Z,n.gaglio,UM per Comodato d'Uso,GUASTO AL PRIMO UTILIZZO,Da Esaminare,true,IMSUS014,777277,2872,09049017,000009057503,MATCH REGMAN KO,,N/A,D4351D8FD307,,,NMU OK,TIM HUB  Technicolor,DELIVERY,NO,,,773371,DaLista,R,2021-12-28T04:31:00.000Z,AOA.SUD,N/A,2872,SIELTE S.P.A.,Router,98,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,1,,,,
%3S55773371N1018300VL1,,REST_336914,2020-05-13T17:06:47.866Z,X1013719,2024-02-22T17:48:38.800Z,8401268861,26140088,A78857337,2020-05-13T17:06:47.866Z,REST_336914,UM per Vendita,SN ATTRIBUITO AD ALTRA IMPRESA,Da Esaminare,true,IMSUS014,773371,332231,087492346,,NO DISCOVERATO SU REGMAN,,,,,,,,DELIVERY,,,,,,R,2020-04-28T00:00:00.000Z,AOA.CE,,332231,,,,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKH3,622352002581,SAP File,2025-07-02T04:58:12.215Z,SAP File,2025-07-02T04:58:12.215Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204DA80,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
%R101780412N092210EKH2,622352067524,SAP File,2025-07-02T04:58:12.164Z,SAP File,2025-07-02T04:58:12.164Z,8403115242,,,,,,,Attribuito,false,IMSUS014,780412,,,,NO DISCOVERATO SU REGMAN,,,C4EB4204DA67,,,,SAGEMCOM STB PREMIUM AUDIO AX,,,,,,,,,,,,,Decoder,105,NO,,,,,,,,NO DISCOVERATO SU COLLAUDO_ONE,,,,,,,,
